Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-PR-011-010123-020;FC Pakowanie GR-08 Birillo G36;PLPA
PLPA-PR-011-010123-13;;PLPA
PLPA-PR-011-010123-14;;PLPA
PLPA-PR-011-010124;K.Surprise moulding;PLPA
PLPA-PR-011-010124-001;K.Surprise IKI;PLPA
PLPA-PR-011-010125;K.Surprise moulding;PLPA
PLPA-PR-011-010125-001;KS Pakowanie IKI Imbutito;PLPA
PLPA-PR-011-010127;KS GR-08 Cuore;PLPA
PLPA-PR-011-010127-001;FC Pakowanie GR-08 Cuore G53;PLPA
PLPA-PR-011-010127-002;FC Formy Cuore G35;PLPA
PLPA-PR-011-010128;KSorpresa GR07 imbutito;PLPA
PLPA-PR-011-010128-001;KS Linia pakowania GR-07 1;PLPA
PLPA-PR-011-010128-002;KS Linia pakowania GR-07 2;PLPA
PLPA-PR-011-010128-003;KS Linia pakowania GR-07 3;PLPA
PLPA-PR-011-010128-004;KS Linia pakowania GR-07 4;PLPA
PLPA-PR-011-010128-005;KS Linia pakowania GR-07 5;PLPA
PLPA-PR-011-010128-006;KS Linia pakowania GR-07 6;PLPA
PLPA-PR-011-010128-007;KS Linia pakowania GR-07 7;PLPA
PLPA-PR-011-010128-008;KS Linia pakowania GR-07 8;PLPA
PLPA-PR-011-010129-001;FC Pakowanie GR-08 Yuppieman G35;PLPA
PLPA-PR-011-010129-002;FC Formy Yuppieman G35;PLPA
PLPA-PR-011-010165;KINDER UOVO MAXI;PLPA
PLPA-PR-011-010165-001;FC Modelator OPM;PLPA
PLPA-PR-011-010165-002;FC Formy G15;PLPA
PLPA-PR-011-010165-003;FC Pakowanie BIRILLO G36;PLPA
PLPA-PR-011-010166;F.Cava packing 110gr Chockal;PLPA
PLPA-PR-011-010166-001;FC Pakowanie GR-08 Birillo G36 1;PLPA
PLPA-PR-011-010166-002;FC Pakowanie GR-08 Birillo G36 2;PLPA
PLPA-PR-011-010166-003;FC Pakowanie GR-08 Birillo G36 2;PLPA
PLPA-PR-011-010167;F.Cava packing 75gr Chockal;PLPA
PLPA-PR-011-010167-001;FC Pakowanie Chocal T75(T55)->NIEAKTYWNY;PLPA
PLPA-PR-011-010168;F.Cava packing 15grBN/HH Rasch;PLPA
PLPA-PR-011-010168-001;FC Pakowanie Rasch T15 1;PLPA
PLPA-PR-011-010168-002;FC Pakowanie Rasch T15 2;PLPA
PLPA-PR-011-010168-003;FC Pakowanie Rasch T15 3;PLPA
PLPA-PR-011-010168-004;FC Pakowanie Rasch T15 4;PLPA
PLPA-PR-011-010168-005;FC Pakowanie Rasch T15 5;PLPA
PLPA-PR-011-010168-006;FC Pakowanie Rasch T15 6;PLPA
PLPA-PR-011-010169;F.Cava packing 110gr IFC;PLPA
PLPA-PR-011-010169-001;FC Pakowanie IFC T110 1;PLPA
PLPA-PR-011-010169-002;FC Pakowanie IFC T110 2;PLPA
PLPA-PR-011-010169-003;FC Pakowanie IFC T110 2;PLPA
PLPA-PR-011-010169-004;FC Pakowanie Gallina G138;PLPA
PLPA-PR-011-010170;F.Cava packing 160gr IFC;PLPA
PLPA-PR-011-010170-001;FC Pakowanie Chocal T160;PLPA
PLPA-PR-011-010170-002;FC Czyszczenie;PLPA
PLPA-PR-011-010171;K.Uovo Maxi 100gr IFC;PLPA
PLPA-PR-011-010171-001;Zablokowany!!!;PLPA
PLPA-PR-011-010172;F.Cava packing 55gr IFC;PLPA
PLPA-PR-011-010172-001;FC Pakowanie IFC T55;PLPA
PLPA-PR-011-010173;F.Cava packing 15gUNIVER.Rasch;PLPA
PLPA-PR-011-010173-001;FC Pakowanie Universale Fima T15;PLPA
PLPA-PR-011-010173-002;FC Czyszczenie;PLPA
PLPA-PR-011-010174;Figura Cava Rocher;PLPA
PLPA-PR-011-010174-001;IFCR Pakowanie wiewiórka/bałwan/jajko;PLPA
PLPA-PR-011-010174-002;FCR Coniglio 100 Chocal;PLPA
PLPA-PR-011-010174-003;FCR/GF RO Modelowanie Ceda(NIE LOGOWAĆ);PLPA
PLPA-PR-011-010174-004;FCR 200g formy;PLPA
PLPA-PR-011-010174-005;FCR/GF RO Preparacja(NIE LOGOWAĆ);PLPA
PLPA-PR-011-010174-006;n/a;PLPA
PLPA-PR-011-010174-007;n/a;PLPA
PLPA-PR-011-010174-008;FCR/GF RO Modelator Buhler;PLPA
PLPA-PR-011-010174-009;n/a;PLPA
